sample_id,smell,severity,failed,sole_blocker,shortfall
3702984,blob,minor,TCC,TCC,TCC=0.3333
3711605,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.1915
3757097,blob,minor,WMC ATFD,,ATFD=0.2 WMC=0.5745
3763661,blob,minor,WMC ATFD,,ATFD=0 WMC=0.4468
3763847,blob,minor,WMC ATFD,,ATFD=0 WMC=0.2128
3764238,blob,minor,WMC TCC ATFD,,ATFD=0.2 TCC=0.3333 WMC=0.7021
3788627,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.1702
3791832,blob,minor,ATFD,ATFD,ATFD=0.4
3797814,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.4043
3797964,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0
3812473,blob,minor,WMC ATFD,,ATFD=0 WMC=0.0638
3814315,blob,minor,WMC TCC ATFD,,ATFD=0.2 TCC=0.5641 WMC=0.8298
3827535,blob,minor,TCC,TCC,TCC=0.3333
3850165,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.5 WMC=0.0851
3857472,blob,minor,WMC,WMC,WMC=0.4894
3860739,blob,minor,WMC TCC ATFD,,ATFD=0.8 TCC=0.3333 WMC=0.1489
3908492,blob,minor,WMC,WMC,WMC=0.4255
3953485,blob,minor,WMC,WMC,WMC=0.7234
3954827,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0851
3970015,blob,minor,WMC TCC,,TCC=1 WMC=0.4043
3974797,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.2553
3977344,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0851
4004762,blob,minor,WMC TCC,,TCC=1 WMC=0.8511
4034686,blob,minor,TCC,TCC,TCC=0.3333
4040842,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0638
4046009,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.0851
4124615,blob,minor,WMC TCC,,TCC=0.7 WMC=0.5319
4131952,blob,minor,ATFD,ATFD,ATFD=0.4
4151146,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.7778 WMC=0.1702
4169071,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=0.5833 WMC=0.4043
4199164,blob,minor,TCC,TCC,TCC=0.3333
4205773,blob,minor,WMC TCC ATFD,,ATFD=0.2 TCC=0.4762 WMC=0.1489
4234040,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.6364 WMC=0.234
4241628,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=0.3333 WMC=0.5532
4246628,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1915
4289354,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0851
4296219,blob,major,TCC ATFD,,ATFD=0 TCC=0.3333
4394144,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.5319
4410714,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.8723
4413114,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.0851
4431383,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0426
4431712,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.6667 WMC=0.1702
4435545,blob,major,WMC ATFD,,ATFD=0 WMC=0.2128
4451710,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0638
4458068,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=0.3333 WMC=0.3617
4493302,blob,minor,WMC,WMC,WMC=0.9149
4503985,blob,minor,WMC TCC,,TCC=1 WMC=0.2766
4505549,blob,minor,WMC TCC,,TCC=0.7778 WMC=0.6809
4512195,blob,major,TCC,TCC,TCC=0.3333
4536448,blob,minor,WMC ATFD,,ATFD=1 WMC=0.3191
4542224,blob,minor,WMC TCC ATFD,,ATFD=0.2 TCC=0.3333 WMC=0.5532
4610445,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.4 WMC=0.1915
4620157,blob,major,TCC,TCC,TCC=0.3333
4624680,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0426
4640509,blob,minor,WMC ATFD,,ATFD=0 WMC=0.9787
4665122,blob,minor,WMC ATFD,,ATFD=0 WMC=0.5532
4678251,blob,minor,WMC TCC ATFD,,ATFD=0.6 TCC=0.3333 WMC=0.383
4687786,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=0.9785 WMC=0.5745
4690765,blob,minor,WMC TCC ATFD,,ATFD=0.2 TCC=0.3333 WMC=0.0213
4690918,blob,minor,WMC ATFD,,ATFD=0 WMC=0.0426
4713471,blob,minor,WMC ATFD,,ATFD=0 WMC=0.0638
4714964,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=1 WMC=0.3404
4727936,blob,minor,WMC TCC ATFD,,ATFD=1 TCC=0.5 WMC=0.4681
4737430,blob,minor,WMC TCC ATFD,,ATFD=1 TCC=0.6364 WMC=0.5532
4752038,blob,minor,WMC ATFD,,ATFD=0.2 WMC=0.0851
4801607,blob,minor,WMC ATFD,,ATFD=0 WMC=0.383
4804222,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.3617
4814956,blob,minor,WMC ATFD,,ATFD=0.4 WMC=0.2553
4815345,blob,minor,TCC,TCC,TCC=0.3333
4875170,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.2553
4913801,blob,minor,WMC TCC ATFD,,ATFD=1 TCC=0.3333 WMC=0.0851
4975591,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3704 WMC=0.2128
5049924,blob,minor,WMC TCC ATFD,,ATFD=0.6 TCC=0.4139 WMC=0.9149
5055368,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0213
5111458,blob,minor,TCC ATFD,,ATFD=0.6 TCC=0.3333
5141876,blob,minor,TCC ATFD,,ATFD=0.2 TCC=0.3333
5148417,blob,minor,WMC ATFD,,ATFD=0.4 WMC=0.4468
5180625,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.2766
5182713,blob,minor,TCC,TCC,TCC=0.7143
5183069,blob,minor,WMC,WMC,WMC=0.4468
5200864,blob,minor,WMC ATFD,,ATFD=0 WMC=0.3617
5222671,blob,minor,WMC ATFD,,ATFD=0 WMC=0.2128
5264883,blob,minor,WMC ATFD,,ATFD=0.8 WMC=0.5745
5281568,blob,minor,WMC,WMC,WMC=0.2979
5322883,blob,minor,WMC TCC,,TCC=0.5556 WMC=0.1702
5330785,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.2979
5333703,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=0.3333 WMC=0.2553
5339993,blob,minor,WMC ATFD,,ATFD=0 WMC=0.0638
5354848,blob,minor,WMC ATFD,,ATFD=0 WMC=0.3617
5368964,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=0.3333 WMC=0.0851
5370715,blob,major,WMC TCC,,TCC=0.9649 WMC=0.4255
5380933,blob,minor,WMC ATFD,,ATFD=0.8 WMC=0.2979
5388415,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.1702
5392183,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0638
5394068,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.2979
5414612,blob,minor,WMC ATFD,,ATFD=0.6 WMC=0.4894
5447313,blob,minor,WMC ATFD,,ATFD=0 WMC=0.2979
5470060,blob,major,TCC,TCC,TCC=0.3333
5473710,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.1064
5498814,blob,minor,WMC ATFD,,ATFD=0 WMC=0.617
5519299,blob,minor,WMC TCC,,TCC=1 WMC=0.5106
5580284,blob,minor,WMC TCC,,TCC=0.7 WMC=0.6596
5581462,blob,minor,WMC ATFD,,ATFD=0 WMC=0.234
5627187,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.1702
5670026,blob,major,WMC TCC ATFD,,ATFD=0 TCC=0.88 WMC=0.7021
5681626,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.4894
5687952,blob,minor,WMC ATFD,,ATFD=0.6 WMC=0.3191
5702079,blob,minor,ATFD,ATFD,ATFD=0
5715127,blob,minor,WMC TCC ATFD,,ATFD=1 TCC=0.4167 WMC=0.3191
5735198,blob,minor,TCC,TCC,TCC=0.3333
5740146,blob,minor,ATFD,ATFD,ATFD=0.4
5767556,blob,minor,WMC ATFD,,ATFD=0 WMC=0.1277
5769222,blob,major,WMC ATFD,,ATFD=0 WMC=0.3191
5775703,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.9286 WMC=0.3404
5786274,blob,minor,WMC TCC ATFD,,ATFD=1 TCC=0.3333 WMC=0.4255
5786929,blob,major,TCC,TCC,TCC=0.5
5798002,blob,minor,WMC TCC ATFD,,ATFD=0.4 TCC=0.3333 WMC=0.1277
5857991,blob,minor,WMC,WMC,WMC=0.7021
5863439,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.2553
5882175,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.7234
5884892,blob,minor,WMC,WMC,WMC=0.766
5935402,blob,minor,WMC ATFD,,ATFD=0 WMC=0.4468
5938889,blob,minor,WMC,WMC,WMC=0.3617
5947006,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0426
5948040,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.1277
5954493,blob,minor,WMC TCC ATFD,,ATFD=0.8 TCC=0.3333 WMC=0.2979
5983608,blob,minor,WMC TCC,,TCC=0.3333 WMC=0.1915
5990255,blob,major,WMC ATFD,,ATFD=0 WMC=0.9787
6019048,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0426
6066851,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=0.3333 WMC=0.0426
6079026,blob,major,WMC TCC,,TCC=0.3333 WMC=0.5745
6093270,blob,minor,WMC,WMC,WMC=0.2766
6141685,blob,minor,WMC,WMC,WMC=0.8936
6157376,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.0851
6164729,blob,minor,WMC ATFD,,ATFD=0 WMC=0.7447
6165395,blob,minor,WMC TCC ATFD,,ATFD=0 TCC=1 WMC=0.1277
