sample_id,repository,smell,entity_type,path,start_line,end_line,class_name,class_kind,entity_name,entity_start_line,entity_end_line,is_constructor,review_count,is_unanimous,severity_mean,severity_max,severity_min,severity_unanimous,smelly_mean,smelly_max,smelly_min,smelly_unanimous,c_AMW,c_ATFD,c_CBO,c_CLOC,c_DIT,c_LCOM,c_LCOM3,c_MAXCC,c_NOAM,c_NOC,c_NOF,c_NOM,c_NOPA,c_RFC,c_TCC,c_WMC,c_WOC,m_ATFD,m_CC,m_CINT,m_FDP,m_LAA,m_MAXNESTING,m_MLOC,m_NOAV,m_NP
6613457,git@github.com:Esri/arcgis-runtime-samples-android.git,long method,function,java/sketch-editor/src/main/java/com/esri/arcgisruntime/sample/sketcheditor/MainActivity.java,44,83,MainActivity,class,onCreate,44,83,0,6,0,1,2,0,,1,1,0,,2.0,0.0,17.0,144.0,1.0,0.0,0.8605769230769231,7.0,0.0,0.0,13.0,17.0,0.0,120.0,0.0,34.0,1.0,0.0,1.0,28.0,0.0,1.0,0.0,26.0,14.0,1.0
6612013,git@github.com:Esri/arcgis-runtime-samples-android.git,blob,class,java/feature-layer-definition-expression/src/main/java/com/esri/arcgisruntime/samples/featurelayerdefinitionexpression/MainActivity.java,29,129,MainActivity,class,MainActivity,29,129,,2,1,0,0,0,0,0,0,0,0,1.2857142857142858,0.0,10.0,50.0,1.0,3.0,0.7222222222222223,3.0,0.0,0.0,3.0,7.0,0.0,44.0,1.0,9.0,1.0,,,,,,,,,
6613429,git@github.com:Esri/arcgis-runtime-samples-android.git,feature envy,function,java/find-route/src/main/java/com/esri/arcgisruntime/sample/findroute/MainActivity.java,292,296,MainActivity,class,onDestroy,292,296,0,2,1,0,0,0,0,0,0,0,0,2.1,0.0,39.0,174.0,1.0,11.0,0.9145299145299144,7.0,0.0,0.0,13.0,10.0,0.0,131.0,0.3333333333333333,21.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0
6624087,git@github.com:Esri/arcgis-runtime-samples-java.git,long method,function,src/main/java/com/esri/samples/map/manage_bookmarks/ManageBookmarksSample.java,181,184,ManageBookmarksSample,class,main,181,184,0,2,1,0,0,0,0,0,0,0,0,2.3333333333333335,0.0,18.0,81.0,1.0,1.0,0.8333333333333334,4.0,0.0,0.0,3.0,3.0,0.0,68.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0
6624209,git@github.com:Esri/arcgis-runtime-samples-java.git,blob,class,src/main/java/com/esri/samples/imagelayers/map_image_layer_tables/MapImageLayerTablesSample.java,53,234,MapImageLayerTablesSample,class,MapImageLayerTablesSample,53,234,,4,0,1,2,0,,1,1,0,,4.0,0.0,28.0,94.0,1.0,0.0,0.5833333333333334,7.0,0.0,0.0,4.0,4.0,0.0,85.0,1.0,16.0,1.0,,,,,,,,,
6624215,git@github.com:Esri/arcgis-runtime-samples-java.git,long method,function,src/main/java/com/esri/samples/featurelayers/feature_layer_rendering_mode_map/FeatureLayerRenderingModeMapSample.java,45,114,FeatureLayerRenderingModeMapSample,class,start,45,114,0,6,0,1,2,0,,1,1,0,,1.75,0.0,12.0,60.0,1.0,0.0,0.4444444444444445,3.0,0.0,0.0,3.0,4.0,0.0,51.0,1.0,7.0,1.0,0.0,2.0,25.0,0.0,1.0,2.0,44.0,17.0,1.0
6629910,git@github.com:Esri/defense-solutions-proofs-of-concept.git,data class,class,apps/vehicle-commander-java/source/VehicleCommander/src/com/esri/vehiclecommander/controller/AppConfigController.java,80,180,AppConfigHandler,class,AppConfigHandler,80,180,,2,1,0,0,0,0,0,0,0,0,9.666666666666666,0.0,4.0,80.0,1.0,0.0,0.7631578947368421,14.0,0.0,0.0,19.0,3.0,0.0,17.0,1.0,29.0,1.0,,,,,,,,,
6627471,git@github.com:Esri/defense-solutions-proofs-of-concept.git,long method,function,geoevent-components/solutions-geoevent/processors/reduceLineToPoint-processor/src/main/java/com/esri/geoevent/solutions/processor/line2pt/UnitConverter.java,55,60,UnitConverter,class,findWkid,55,60,0,2,1,0,0,0,0,0,0,0,0,1.6,0.0,3.0,36.0,0.0,6.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,18.0,0.0,8.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0
6629031,git@github.com:Esri/geometry-api-java.git,feature envy,function,src/main/java/com/esri/core/geometry/ogc/OGCPolygon.java,81,86,OGCPolygon,class,exteriorRing,81,86,0,2,1,0,0,0,0,0,0,0,0,1.4,8.0,18.0,62.0,2.0,36.0,0.75,4.0,1.0,0.0,2.0,13.0,1.0,34.0,0.2692307692307692,21.0,0.8571428571428571,1.0,2.0,1.0,1.0,0.5,1.0,5.0,2.0,0.0
6630204,git@github.com:Esri/geometry-api-java.git,feature envy,function,src/main/java/com/esri/core/geometry/RelationalOperations.java,834,867,RelationalOperations,class,multiPointRelateEnvelope_,834,867,0,2,1,0,0,0,0,0,0,0,0,8.084033613445378,94.0,35.0,3407.0,0.0,6897.0,0.9829059829059829,53.0,0.0,0.0,1.0,118.0,0.0,604.0,1.0,962.0,1.0,6.0,7.0,7.0,1.0,0.0,1.0,25.0,11.0,5.0
6632662,git@github.com:Esri/geoportal-server-harvester.git,long method,function,geoportal-SDK/geoportal-harvester-api-base/src/main/java/com/esri/geoportal/harvester/api/base/DataReferenceWrapper.java,104,107,DataReferenceWrapper,class,getOriginDataReference,104,107,0,2,1,0,0,0,0,0,0,0,0,1.0714285714285714,10.0,4.0,50.0,0.0,0.0,0.6666666666666666,2.0,9.0,0.0,3.0,13.0,0.0,29.0,0.8717948717948718,15.0,0.3076923076923077,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0
6634791,git@github.com:Esri/geoportal-server-harvester.git,blob,class,geoportal-connectors/geoportal-harvester-waf/src/main/java/com/esri/geoportal/harvester/waf/WafFolderContent.java,23,65,WafFolderContent,class,WafFolderContent,23,65,,6,0,1,2,0,,1,1,0,,1.0,0.0,1.0,13.0,0.0,3.0,1.0,1.0,3.0,0.0,3.0,3.0,0.0,4.0,0.0,4.0,0.0,,,,,,,,,
