sample_id,smell,variant,fired_pmd,fired_ours,actual
6613457,long method,strategy,0,0,1
6612013,blob,strategy,0,0,0
6612013,blob,with_size,0,0,0
6613429,feature envy,law_of_demeter,0,,0
6624087,long method,strategy,0,0,0
6624209,blob,strategy,0,0,1
6624209,blob,with_size,0,0,1
6624215,long method,strategy,0,1,1
6629910,data class,strategy,0,0,0
6627471,long method,strategy,0,0,0
6629031,feature envy,law_of_demeter,0,,0
6630204,feature envy,law_of_demeter,0,,0
6632662,long method,strategy,0,0,0
6634791,blob,strategy,0,0,1
6634791,blob,with_size,0,0,1
6633155,long method,strategy,0,0,0
6632851,long method,strategy,0,0,0
6634928,blob,strategy,0,0,0
6634928,blob,with_size,0,0,0
6633402,feature envy,law_of_demeter,0,,1
6635481,data class,strategy,0,0,0
7031904,feature envy,law_of_demeter,0,,0
7030976,feature envy,law_of_demeter,0,,0
7032580,feature envy,law_of_demeter,0,,0
7027539,data class,strategy,0,0,1
7043386,blob,strategy,0,0,0
7043386,blob,with_size,0,0,0
7043418,long method,strategy,0,0,0
7039207,blob,strategy,0,0,0
7039207,blob,with_size,0,0,0
7035620,data class,strategy,0,0,0
7042338,blob,strategy,0,0,0
7042338,blob,with_size,0,0,0
7032722,data class,strategy,0,0,0
7022531,blob,strategy,0,0,0
7022531,blob,with_size,0,0,0
7022945,feature envy,law_of_demeter,0,,0
7023392,feature envy,law_of_demeter,0,,0
7023035,feature envy,law_of_demeter,0,,0
7110843,data class,strategy,0,0,0
7111061,long method,strategy,0,0,0
7110627,feature envy,law_of_demeter,0,,0
7137862,blob,strategy,0,0,0
7137862,blob,with_size,0,0,0
7134617,blob,strategy,0,0,0
7134617,blob,with_size,0,0,0
7135236,data class,strategy,0,0,0
7119679,long method,strategy,0,0,0
7120110,long method,strategy,0,0,0
8316315,data class,strategy,0,0,0
7120318,blob,strategy,1,0,1
7120318,blob,with_size,1,1,1
7121075,long method,strategy,0,0,0
7148614,blob,strategy,0,0,0
7148614,blob,with_size,0,0,0
7149120,blob,strategy,0,0,0
7149120,blob,with_size,0,0,0
7161125,data class,strategy,0,0,0
7160140,blob,strategy,0,0,0
7160140,blob,with_size,0,0,0
7156185,feature envy,law_of_demeter,0,,0
7157571,blob,strategy,0,0,0
7157571,blob,with_size,0,0,0
7144792,long method,strategy,0,0,0
7148928,blob,strategy,1,0,1
7148928,blob,with_size,1,1,1
7160761,blob,strategy,0,0,1
7160761,blob,with_size,0,0,1
7147207,data class,strategy,1,1,1
7148054,blob,strategy,0,0,1
7148054,blob,with_size,0,0,1
7152802,blob,strategy,0,0,0
7152802,blob,with_size,0,0,0
7140272,blob,strategy,0,0,0
7140272,blob,with_size,0,0,0
7139571,blob,strategy,0,0,0
7139571,blob,with_size,0,0,0
7141052,long method,strategy,0,0,0
7143647,blob,strategy,0,0,0
7143647,blob,with_size,0,0,0
7144407,data class,strategy,0,0,0
7144021,data class,strategy,0,0,0
7155736,long method,strategy,0,0,0
7156819,feature envy,law_of_demeter,0,,0
7155743,data class,strategy,0,0,1
7158488,feature envy,law_of_demeter,0,,0
7153322,blob,strategy,0,0,0
7153322,blob,with_size,0,0,0
7161553,data class,strategy,0,0,0
7161584,feature envy,law_of_demeter,1,,1
7357164,long method,strategy,0,0,0
7356682,feature envy,law_of_demeter,0,,0
7327189,blob,strategy,0,0,1
7327189,blob,with_size,0,1,1
7359431,long method,strategy,0,0,0
7356708,data class,strategy,0,0,1
7357470,long method,strategy,0,0,0
7374308,long method,strategy,0,0,0
7357208,feature envy,law_of_demeter,0,,0
7356604,feature envy,law_of_demeter,0,,0
7374084,long method,strategy,0,0,0
7356984,long method,strategy,0,0,1
7373719,feature envy,law_of_demeter,0,,0
7341500,feature envy,law_of_demeter,0,,0
7322270,data class,strategy,0,0,0
7344807,feature envy,law_of_demeter,0,,0
7353142,long method,strategy,0,0,0
7372800,blob,strategy,0,0,1
7372800,blob,with_size,0,0,1
7308975,blob,strategy,0,0,0
7308975,blob,with_size,0,0,0
7324520,blob,strategy,0,0,0
7324520,blob,with_size,0,0,0
7349490,data class,strategy,0,0,0
7323707,feature envy,law_of_demeter,0,,0
7358328,long method,strategy,0,0,0
7313745,long method,strategy,0,0,0
7322217,data class,strategy,1,0,1
7362051,blob,strategy,0,0,0
7362051,blob,with_size,0,0,0
7306229,long method,strategy,0,0,0
7363484,blob,strategy,0,0,0
7363484,blob,with_size,0,0,0
7302347,blob,strategy,0,0,0
7302347,blob,with_size,0,0,0
7349010,long method,strategy,0,0,0
7337150,long method,strategy,0,0,0
7301073,feature envy,law_of_demeter,0,,0
7355243,long method,strategy,0,0,1
7356691,blob,strategy,0,0,1
7356691,blob,with_size,0,0,1
7323687,data class,strategy,0,0,1
7332291,blob,strategy,0,0,0
7332291,blob,with_size,0,0,0
7320330,long method,strategy,0,0,0
7325587,blob,strategy,0,0,0
7325587,blob,with_size,0,0,0
7332512,long method,strategy,0,0,0
7350370,data class,strategy,0,0,1
7337830,blob,strategy,0,0,0
7337830,blob,with_size,0,0,0
7343807,long method,strategy,0,0,0
7345031,long method,strategy,0,0,1
7330770,data class,strategy,1,1,1
7341179,data class,strategy,0,0,1
7355862,feature envy,law_of_demeter,0,,0
7337628,feature envy,law_of_demeter,0,,0
7336602,blob,strategy,0,0,1
7336602,blob,with_size,0,0,1
7301167,blob,strategy,0,0,1
7301167,blob,with_size,0,0,1
7357395,data class,strategy,0,0,0
7324624,data class,strategy,1,1,1
7341316,blob,strategy,0,0,1
7341316,blob,with_size,0,0,1
7341794,blob,strategy,0,0,0
7341794,blob,with_size,0,0,0
7368005,blob,strategy,0,0,0
7368005,blob,with_size,0,0,0
7320020,feature envy,law_of_demeter,0,,0
7303656,blob,strategy,0,0,1
7303656,blob,with_size,0,0,1
7165732,blob,strategy,0,0,0
7165732,blob,with_size,0,0,0
7164951,feature envy,law_of_demeter,0,,0
7168351,blob,strategy,0,0,0
7168351,blob,with_size,0,0,0
7172860,long method,strategy,0,0,0
7172582,blob,strategy,0,0,0
7172582,blob,with_size,0,0,0
7168092,long method,strategy,0,0,0
7168076,data class,strategy,1,1,1
7258651,blob,strategy,0,0,0
7258651,blob,with_size,0,0,0
7260017,blob,strategy,0,0,0
7260017,blob,with_size,0,0,0
7268641,long method,strategy,0,0,0
7268617,blob,strategy,0,0,1
7268617,blob,with_size,0,0,1
7276572,blob,strategy,0,0,1
7276572,blob,with_size,0,0,1
7279538,feature envy,law_of_demeter,0,,0
7278060,long method,strategy,0,0,0
7277560,blob,strategy,0,0,0
7277560,blob,with_size,0,0,0
7277838,long method,strategy,0,0,0
7279793,blob,strategy,0,0,0
7279793,blob,with_size,0,0,0
7279934,feature envy,law_of_demeter,0,,0
7280600,blob,strategy,0,0,0
7280600,blob,with_size,0,0,0
7280795,data class,strategy,0,1,0
7280607,blob,strategy,0,0,0
7280607,blob,with_size,0,0,0
7673002,data class,strategy,0,0,0
7680525,data class,strategy,0,0,0
7681058,blob,strategy,0,0,0
7681058,blob,with_size,0,0,0
7671750,long method,strategy,0,0,0
7671918,long method,strategy,0,0,0
