file,class_name,method,smell,refactoring,applied,refusal,detail,verdict,errors_before,errors_after,introduced,resolution,introduced_smells,metric,metric_before,metric_after
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\Esri__arcgis-runtime-samples-android__22b9a4c99c82\java\find-route\src\main\java\com\esri\arcgisruntime\sample\findroute\MainActivity.java,MainActivity,onCreate,BrainMethod,ExtractMethod,0,shape_not_matched,no top-level block of at least 5 lines,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\Esri__arcgis-runtime-samples-android__22b9a4c99c82\java\find-route\src\main\java\com\esri\arcgisruntime\sample\findroute\MainActivity.java,MainActivity,onCreate,LongMethod,ExtractMethod,0,shape_not_matched,no top-level block of at least 5 lines,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\Esri__arcgis-runtime-samples-android__22b9a4c99c82\java\find-route\src\main\java\com\esri\arcgisruntime\sample\findroute\MainActivity.java,MainActivity,setupSymbols,LongMethod,ExtractMethod,0,not_definitely_assigned,pinSourceSymbol may not be assigned yet,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\Esri__arcgis-runtime-samples-android__22b9a4c99c82\java\sketch-editor\src\main\java\com\esri\arcgisruntime\sample\sketcheditor\MainActivity.java,MainActivity,stop,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,the body is not a single conditional,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\Esri__arcgis-runtime-samples-android__22b9a4c99c82\java\sketch-editor\src\main\java\com\esri\arcgisruntime\sample\sketcheditor\MainActivity.java,MainActivity,reportNotValid,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,the body is not a single conditional,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\Esri__arcgis-runtime-samples-java__c7a0b3095864\src\main\java\com\esri\samples\imagelayers\map_image_layer_tables\MapImageLayerTablesSample.java,MapImageLayerTablesSample,start,BrainMethod,ExtractMethod,1,,,no_new_errors,19,19,,resolved,,MLOC,53.0,3.0
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\Esri__arcgis-runtime-samples-java__c7a0b3095864\src\main\java\com\esri\samples\imagelayers\map_image_layer_tables\MapImageLayerTablesSample.java,MapImageLayerTablesSample,start,LongMethod,ExtractMethod,1,,,no_new_errors,19,19,,resolved,,MLOC,53.0,3.0
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\Esri__arcgis-runtime-samples-java__c7a0b3095864\src\main\java\com\esri\samples\imagelayers\map_image_layer_tables\MapImageLayerTablesSample.java,MapImageLayerTablesSample,start,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,the body is not a single conditional,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\Esri__arcgis-runtime-samples-java__c7a0b3095864\src\main\java\com\esri\samples\imagelayers\map_image_layer_tables\MapImageLayerTablesSample.java,MapImageLayerTablesSample,showRelatedRequests,DeepNesting,ReplaceNestedConditionalWithGuardClauses,0,shape_not_matched,the body is not a single conditional,not_checked,0,0,,,,,,
C:\Users\flore\OneDrive\Desktop\Code-Smell-Detection-and-Refactoring-Recommendations\data\corpus\Esri__arcgis-runtime-samples-java__c7a0b3095864\src\main\java\com\esri\samples\map\manage_bookmarks\ManageBookmarksSample.java,ManageBookmarksSample,start,LongMethod,ExtractMethod,1,,,no_new_errors,13,13,,resolved,,MLOC,71.0,3.0
