review_id,refactoring,smell,class_name,method,file,ordinal,behaviour,benefit,acceptance,note
EM01,ExtractMethod,LongMethod,Resolve,resolveMemberReference,SAP__SapMachine__6e62561730c4/src/jdk.compiler/share/classes/com/sun/tools/javac/comp/Resolve.java,45,,,,
EM02,ExtractMethod,LongMethod,AmbariManagementControllerImpl,getServicesForSmokeTests,apache__ambari__2bc4779a1e6a/ambari-server/src/main/java/org/apache/ambari/server/controller/AmbariManagementControllerImpl.java,28,,,,
EM03,ExtractMethod,LongMethod,DataDictionaryImpl,startWriting,apache__derby__bd246fc89d4f/java/org.apache.derby.engine/org/apache/derby/impl/sql/catalog/DataDictionaryImpl.java,7,,,,
EM04,ExtractMethod,LongMethod,DataDictionaryImpl,createDictionaryTables,apache__derby__bd246fc89d4f/java/org.apache.derby.engine/org/apache/derby/impl/sql/catalog/DataDictionaryImpl.java,52,,,,
EM05,ExtractMethod,LongMethod,DataDictionaryImpl,create_SYSIBM_procedures,apache__derby__bd246fc89d4f/java/org.apache.derby.engine/org/apache/derby/impl/sql/catalog/DataDictionaryImpl.java,79,,,,
EM06,ExtractMethod,LongMethod,DataDictionaryImpl,create_10_3_system_procedures_SYSIBM,apache__derby__bd246fc89d4f/java/org.apache.derby.engine/org/apache/derby/impl/sql/catalog/DataDictionaryImpl.java,81,,,,
EM07,ExtractMethod,LongMethod,Builder,mergeFrom,apache__drill__5e2251a9fd65/protocol/src/main/java/org/apache/drill/exec/proto/UserBitShared.java,25,,,,
EM08,ExtractMethod,BrainMethod,DistributedRegion,initMembershipRoles,apache__geode__8fd839e8b73e/geode-core/src/main/java/org/apache/geode/internal/cache/DistributedRegion.java,20,,,,
EM09,ExtractMethod,BrainMethod,SemanticAnalyzer,genPostGroupByBodyPlan,apache__hive__2fa22bf36089/ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,166,,,,
EM10,ExtractMethod,BrainMethod,HMSHandler,map_schema_version_to_serde,apache__hive__2fa22bf36089/standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java,132,,,,
EM11,ExtractMethod,LongMethod,IgniteNamedInstance,initializeConfiguration,apache__ignite__7a7c407ea414/modules/core/src/main/java/org/apache/ignite/internal/IgnitionEx.java,8,,,,
EM12,ExtractMethod,BrainMethod,IgniteSpiAdapter,checkConfigurationConsistency,apache__ignite__7a7c407ea414/modules/core/src/main/java/org/apache/ignite/spi/IgniteSpiAdapter.java,0,,,,
EM13,ExtractMethod,BrainMethod,BaseFragListBuilder,createFieldFragList,apache__lucene-solr__bca22d58e2d1/lucene/highlighter/src/java/org/apache/lucene/search/vectorhighlight/BaseFragListBuilder.java,0,,,,
