sample_id,smell,entity_type,repository,path,start_line,code_name,reviews,severity_mean,unanimous,fired_strategy,fired_with_size
6613457,long method,function,git@github.com:Esri/arcgis-runtime-samples-android.git,/java/sketch-editor/src/main/java/com/esri/arcgisruntime/sample/sketcheditor/MainActivity.java,44,com.esri.arcgisruntime.sample.sketcheditor.MainActivity#onCreate Bundle,6,minor,0,0,0
6612013,blob,class,git@github.com:Esri/arcgis-runtime-samples-android.git,/java/feature-layer-definition-expression/src/main/java/com/esri/arcgisruntime/samples/featurelayerdefinitionexpression/MainActivity.java,29,com.esri.arcgisruntime.samples.featurelayerdefinitionexpression.MainActivity,2,none,1,0,0
6613429,feature envy,function,git@github.com:Esri/arcgis-runtime-samples-android.git,/java/find-route/src/main/java/com/esri/arcgisruntime/sample/findroute/MainActivity.java,292,com.esri.arcgisruntime.sample.findroute.MainActivity#onDestroy,2,none,1,0,0
6624087,long method,function,git@github.com:Esri/arcgis-runtime-samples-java.git,/src/main/java/com/esri/samples/map/manage_bookmarks/ManageBookmarksSample.java,181,com.esri.samples.map.manage_bookmarks.ManageBookmarksSample.main String[],2,none,1,0,0
6624209,blob,class,git@github.com:Esri/arcgis-runtime-samples-java.git,/src/main/java/com/esri/samples/imagelayers/map_image_layer_tables/MapImageLayerTablesSample.java,53,com.esri.samples.imagelayers.map_image_layer_tables.MapImageLayerTablesSample,4,minor,0,0,0
6624215,long method,function,git@github.com:Esri/arcgis-runtime-samples-java.git,/src/main/java/com/esri/samples/featurelayers/feature_layer_rendering_mode_map/FeatureLayerRenderingModeMapSample.java,45,com.esri.samples.featurelayers.feature_layer_rendering_mode_map.FeatureLayerRenderingModeMapSample#start Stage,6,minor,0,1,1
6629910,data class,class,git@github.com:Esri/defense-solutions-proofs-of-concept.git,/apps/vehicle-commander-java/source/VehicleCommander/src/com/esri/vehiclecommander/controller/AppConfigController.java,80,com.esri.vehiclecommander.controller.AppConfigController.AppConfigHandler,2,none,1,0,0
6627471,long method,function,git@github.com:Esri/defense-solutions-proofs-of-concept.git,/geoevent-components/solutions-geoevent/processors/reduceLineToPoint-processor/src/main/java/com/esri/geoevent/solutions/processor/line2pt/UnitConverter.java,55,com.esri.geoevent.solutions.processor.line2pt.UnitConverter#findWkid String,2,none,1,0,0
6629031,feature envy,function,git@github.com:Esri/geometry-api-java.git,/src/main/java/com/esri/core/geometry/ogc/OGCPolygon.java,81,com.esri.core.geometry.ogc.OGCPolygon#exteriorRing,2,none,1,0,0
6630204,feature envy,function,git@github.com:Esri/geometry-api-java.git,/src/main/java/com/esri/core/geometry/RelationalOperations.java,834,com.esri.core.geometry.RelationalOperations.multiPointRelateEnvelope_ MultiPoint|Envelope|double|int|ProgressTracker,2,none,1,1,1
