file,smell,class_name,method,start_line,alone,in_project,new_in_project
SAP__SapMachine__6e62561730c4/src/java.base/share/classes/java/lang/reflect/ProxyGenerator.java,BrainMethod,ProxyGenerator,generateClassFile(),426,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.base/share/classes/java/lang/reflect/ProxyGenerator.java,LongMethod,ProxyGenerator,generateClassFile(),426,no_new_errors,no_new_errors,
SAP__SapMachine__6e62561730c4/src/java.base/share/classes/java/lang/reflect/ProxyGenerator.java,LongMethod,ProxyGenerator,checkReturnTypes(List),632,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.base/share/classes/java/lang/reflect/ProxyGenerator.java,LongMethod,ProxyGenerator,generateStaticInitializer(),1193,no_new_errors,no_new_errors,
SAP__SapMachine__6e62561730c4/src/java.base/share/classes/java/util/zip/ZipFile.java,LongMethod,ZipFile,"getZipEntry(String, byte, int, Function)",649,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,BrainMethod,SunFontManager,"registerFontFile(String, String, int, boolean, int)",986,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,LongMethod,SunFontManager,"registerFontFile(String, String, int, boolean, int)",986,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,BrainMethod,SunFontManager,resolveWindowsFonts(),1215,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,LongMethod,SunFontManager,resolveWindowsFonts(),1215,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,BrainMethod,SunFontManager,"findFontFromPlatformMap(String, int)",1497,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,LongMethod,SunFontManager,"findFontFromPlatformMap(String, int)",1497,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,BrainMethod,SunFontManager,"replaceFont(PhysicalFont, PhysicalFont)",2426,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,LongMethod,SunFontManager,"replaceFont(PhysicalFont, PhysicalFont)",2426,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,LongMethod,SunFontManager,registerFont(Font),2765,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,BrainMethod,SunFontManager,"addDirFonts(String, File, FilenameFilter, int, boolean, int, boolean, boolean)",2932,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,LongMethod,SunFontManager,"addDirFonts(String, File, FilenameFilter, int, boolean, int, boolean, boolean)",2932,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,LongParameterList,SunFontManager,"addDirFonts(String, File, FilenameFilter, int, boolean, int, boolean, boolean)",2932,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,BrainMethod,SunFontManager,"initCompositeFonts(FontConfiguration, ConcurrentHashMap)",3185,no_new_errors,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,LongMethod,SunFontManager,"initCompositeFonts(FontConfiguration, ConcurrentHashMap)",3185,compiles,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,BrainMethod,SunFontManager,getInstalledFontFamilyNames(Locale),3454,compiles,not_checked,
SAP__SapMachine__6e62561730c4/src/java.desktop/share/classes/sun/font/SunFontManager.java,LongMethod,SunFontManager,getInstalledFontFamilyNames(Locale),3454,compiles,not_checked,
alibaba__atlas__e8c7b3f1ff14/atlas-gradle-plugin/dexpatch/src/main/java/com/taobao/android/dx/merge/IndexMap.java,LongMethod,EncodedValueTransformer,transform(EncodedValueReader),234,no_new_errors,compiles,
apache__accumulo__f896c98c2356/proxy/src/main/java/org/apache/accumulo/proxy/thrift/ActiveScan.java,LongMethod,ActiveScan,"setFieldValue(_Fields, Object)",632,no_new_errors,no_new_errors,
apache__accumulo__f896c98c2356/proxy/src/main/java/org/apache/accumulo/proxy/thrift/ActiveScan.java,LongMethod,ActiveScan,toString(),1096,no_new_errors,no_new_errors,
apache__accumulo__f896c98c2356/proxy/src/main/java/org/apache/accumulo/proxy/thrift/ActiveScan.java,LongMethod,ActiveScanStandardScheme,"write(TProtocol, ActiveScan)",1360,no_new_errors,no_new_errors,
apache__accumulo__f896c98c2356/proxy/src/main/java/org/apache/accumulo/proxy/thrift/ActiveScan.java,LongMethod,ActiveScanTupleScheme,"write(TProtocol, ActiveScan)",1450,no_new_errors,no_new_errors,
apache__accumulo__f896c98c2356/proxy/src/main/java/org/apache/accumulo/proxy/thrift/ActiveScan.java,LongMethod,ActiveScanTupleScheme,"read(TProtocol, ActiveScan)",1541,no_new_errors,no_new_errors,
